Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-10-27,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,16.05,36915,1012,15.61,-,0,690,0Shares,2.82%,186845.97,19.76%
2022-10-27,,Cash,,,,,1369.97,,,,,,,,0
2022-10-28,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,15.37,35351,-552,15.61,-,0,-1564,0Shares,-1.54%,180007.93,19.64%
2022-10-28,,Cash,,,,,144656.93,,,,,,,,0
2022-10-31,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,15.61,35903,0,15.61,-,0,552,0Shares,0%,188114.75,19.09%
2022-10-31,Stock,宁德时代(300750.XSHE),Long,200Shares,0Shares,372.88,74576,2576,360,-,0,2576,200Shares,3.58%,188114.75,39.64%
2022-10-31,Stock,科华数据(002335.XSHE),Long,1800Shares,0Shares,42.75,76950,5022,39.96,-,0,5022,1800Shares,6.98%,188114.75,40.91%
2022-10-31,,Cash,,,,,685.75,,,,,,,,0
2022-11-01,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,16.2,37260,1357,15.61,-,0,1357,0Shares,3.78%,194745.75,19.13%
2022-11-01,Stock,宁德时代(300750.XSHE),Long,200Shares,200Shares,386.2,77240,5240,360,-,0,2664,0Shares,7.28%,194745.75,39.66%
2022-11-01,Stock,科华数据(002335.XSHE),Long,1800Shares,1800Shares,44.2,79560,7632,39.96,-,0,2610,0Shares,10.61%,194745.75,40.85%
2022-11-01,,Cash,,,,,685.75,,,,,,,,0
2022-11-02,Stock,东方财富(300059.XSHE),Long,2300Shares,2300Shares,16.25,37375,1472,15.61,-,0,115,0Shares,4.1%,196622.75,19.01%
2022-11-02,Stock,宁德时代(300750.XSHE),Long,200Shares,200Shares,391.5,78300,6300,360,-,0,1060,0Shares,8.75%,196622.75,39.82%
