,carry_return,funding_return,post_trade_return,fee_return,gross_return,net_return,nav,starting_equity,gross_exposure,net_exposure,long_exposure,short_exposure,long_count,short_count,turnover
2022-04-29,0.0019634453916712083,3.178472222222228e-06,-0.00198018482980611,-3.809523809523809e-05,-1.3560965912679402e-05,-5.1656204007917494e-05,1.7592382341147015,475.01886088215474,0.7936507936507933,-2.7755575615628914e-17,0.39682539682539686,0.39682539682539675,20,28,0.09523809523809523
2022-04-30,0.009280233227569532,1.9652182539682555e-06,-0.0021797132435002805,-3.1746031746031745e-05,0.007102485202323219,0.007070739170577187,1.7716773488070332,474.9943232109694,0.793650793650793,-2.7755575615628914e-17,0.39682539682539686,0.39682539682539664,20,29,0.07936507936507936
2022-05-01,0.02400788417319813,-5.394960317460304e-06,-0.0027176073339200565,-3.809523809523809e-05,0.021284881878960615,0.02124678664086538,1.8093197994335903,478.35288417789894,0.793650793650793,-2.7755575615628914e-17,0.39682539682539675,0.39682539682539675,20,26,0.09523809523809523
2022-05-02,-0.010325712017147834,-1.7284642857142857e-05,-0.0007256908275604706,-3.3333333333333335e-05,-0.011068687487565449,-0.011102020820898782,1.7892326933486142,488.5163458470694,0.809523809523809,-2.0816681711721685e-17,0.40476190476190466,0.40476190476190466,21,25,0.08333333333333331
2022-05-03,-0.0009049024575354115,-1.773073412698412e-05,-0.001300516101049701,-3.1746031746031745e-05,-0.0022231492927120965,-0.002254895324458128,1.7851981609140148,483.09282720412585,0.841269841269841,-4.85722573273506e-17,0.4206349206349206,0.4206349206349205,21,24,0.07936507936507936
2022-05-04,-0.00876972223272547,-1.193519841269841e-05,-0.0014079755977397515,-3.1746031746031745e-05,-0.010189633028877921,-0.010221379060623953,1.766950973812984,482.003503446784,0.8888888888888885,-4.85722573273506e-17,0.4444444444444444,0.4444444444444443,21,27,0.07936507936507936
2022-05-05,-0.0057643422776664155,-2.4640873015873024e-06,-0.0008898342380295655,-3.809523809523809e-05,-0.006656640602997569,-0.006694735841092807,1.7551217037991445,477.0767629295057,0.9047619047619042,-2.0816681711721685e-17,0.45238095238095233,0.4523809523809521,23,28,0.09523809523809523
2022-05-06,0.008369119383884167,-1.5940238095238095e-05,0.000913505710963893,-2.5396825396825394e-05,0.009266684856752822,0.009241288031355996,1.7713412889940365,473.882860025769,0.9206349206349201,6.938893903907228e-18,0.46031746031746024,0.46031746031746007,22,28,0.06349206349206349
2022-05-07,0.004656505105746289,-1.1302579365079376e-06,2.133614768324498e-05,-3.1746031746031745e-05,0.004676710995493026,0.004644964963746994,1.7795691072202522,478.26214802838984,0.9523809523809519,-2.0816681711721685e-17,0.4761904761904761,0.4761904761904762,22,26,0.07936507936507936
2022-05-08,0.008028154753219862,-2.4095476190476183e-05,0.0019979976145756487,-3.3333333333333335e-05,0.010002056891605035,0.009968723558271702,1.7973091397029712,480.48365894946807,0.94047619047619,-1.3877787807814457e-17,0.47023809523809507,0.47023809523809507,23,26,0.08333333333333333
2022-05-09,-0.004220231170632844,-1.3518789682539684e-05,-0.0028203386490761144,-3.1746031746031745e-05,-0.007054088609391498,-0.00708583464113753,1.7845737043400307,485.2734677198022,0.92063492063492,-1.3877787807814457e-17,0.46031746031746024,0.4603174603174602,23,27,0.07936507936507936
2022-05-10,0.01589212465466845,5.372420634920636e-05,-0.001856107028437512,-3.1746031746031745e-05,0.014089741832580143,0.014057995800834111,1.8096612339819216,481.8349001718083,0.92063492063492,-1.3877787807814457e-17,0.4603174603174601,0.4603174603174602,23,26,0.07936507936507936
2022-05-11,0.0029541144136189866,3.824384920634926e-06,-0.002369409077512257,-3.1746031746031745e-05,0.0005885297210273645,0.0005567836892813328,1.8106688238401274,488.60853317511885,0.9365079365079361,-4.163336342344337e-17,0.46825396825396803,0.4682539682539683,21,25,0.07936507936507936
2022-05-12,0.03498884407700518,-5.3432797619047625e-05,-0.0029838664852695775,-3.809523809523809e-05,0.031951544794116556,0.031913449556021316,1.86845351201241,488.8805824368344,0.9523809523809519,-1.3877787807814457e-17,0.47619047619047605,0.4761904761904761,21,23,0.09523809523809523
2022-05-13,-0.014200565263071266,5.501369047619004e-06,-0.0049627872921968645,-3.1746031746031745e-05,-0.01915785118622051,-0.019189597217966543,1.8325986416963969,504.4824482433507,0.9365079365079358,-6.938893903907228e-18,0.46825396825396814,0.4682539682539682,20,22,0.07936507936507936
2022-05-14,-0.0009685692092392753,9.63860119047619e-05,-0.0027542387408212685,-3.809523809523809e-05,-0.0036264219381557817,-0.00366451717625102,1.825883052496726,494.80163325802715,0.9365079365079363,-6.938893903907228e-18,0.46825396825396814,0.4682539682539682,21,22,0.09523809523809523
2022-05-15,0.0005360658419135385,-2.172732142857141e-05,-0.00018360995695650785,-3.809523809523809e-05,0.00033072856352845927,0.00029263332543322116,1.8264173667262302,492.988424174116,0.9365079365079361,-6.938893903907228e-18,0.46825396825396826,0.4682539682539681,23,22,0.09523809523809523
2022-05-16,-0.012730029642889667,-0.0001488090476190476,0.005604922980967179,-3.809523809523809e-05,-0.0072739157095415355,-0.007312010947636774,1.813062582945774,493.13268901608217,0.9523809523809519,-6.938893903907228e-18,0.47619047619047605,0.476190476190476,23,24,0.09523809523809523
2022-05-17,0.007906247391432987,1.047650793650794e-05,-0.006495903022403619,-3.1746031746031745e-05,0.0014208208769658755,0.0013890748452198437,1.8155810625725535,489.526897395359,0.9523809523809519,-6.938893903907228e-18,0.47619047619047605,0.4761904761904761,22,25,0.07936507936507936
2022-05-18,-0.0057571322124856045,1.0416230158730163e-05,-0.002991780342170411,-3.809523809523809e-05,-0.008738496324497285,-0.008776591562592523,1.7996464491375765,490.20688689458945,0.9523809523809519,-6.938893903907228e-18,0.47619047619047616,0.4761904761904761,20,25,0.09523809523809523
2022-05-19,0.025269974474465537,7.224001984126986e-05,0.0013864630370042995,-3.1746031746031745e-05,0.026728677531311106,0.026696931499565073,1.847691487113638,485.90454126714565,0.9365079365079361,-6.938893903907228e-18,0.46825396825396826,0.4682539682539682,20,24,0.07936507936507936
2022-05-20,-0.015577284433537402,-1.916559523809523e-05,-0.0017559610640776814,-2.5396825396825394e-05,-0.017352411092853178,-0.017377807918250002,1.8155826593583915,498.8767015206823,0.9365079365079361,-6.938893903907228e-18,0.46825396825396814,0.4682539682539682,22,24,0.06349206349206349
2022-05-21,0.0062928750304654425,-4.224994047619045e-05,-0.002013273577633501,-3.1746031746031745e-05,0.004237351512355752,0.00420560548060972,1.823218283741089,490.2073180267657,0.9206349206349203,-6.938893903907228e-18,0.46031746031746024,0.4603174603174603,23,23,0.07936507936507936
2022-05-22,-0.025299683802787062,-6.201369047619043e-05,0.0008493061459425557,-3.809523809523809e-05,-0.024512391347320698,-0.024550486585415934,1.7784573877238183,492.26893661009404,0.8730158730158726,-6.938893903907228e-18,0.4365079365079364,0.43650793650793646,23,22,0.09523809523809523
2022-05-23,-0.0045496961043239555,-2.0398809523810137e-07,-0.0010046315804056463,-3.8095238095238106e-05,-0.00555453167282484,-0.005592626910920078,1.7685111390773094,480.18349468543096,0.8571428571428568,0.0,0.4285714285714285,0.42857142857142855,23,22,0.09523809523809526
