,offset_00,offset_01,offset_02,offset_03,offset_04,offset_05,offset_06,offset_07,offset_08,offset_09,offset_10,offset_11,offset_12,offset_13,offset_14,offset_15,offset_16,offset_17,offset_18,offset_19,offset_20
2023-07-30,1.0316685559203855,1.1023486643799982,1.076618949224177,1.0477049080984395,1.0691883252419072,1.0419161707028297,1.061709073459589,1.0565363540119572,1.0451858459846968,1.0131657244248282,0.9921078400916895,0.9971184944996004,1.0718748177215778,1.057892835471914,1.108297232625706,1.0887937083683956,1.0267190617925486,1.1008621837513948,1.0352881938168157,1.028211906468185,1.0264872119285207
2023-07-31,1.031753684404759,1.1021713373634012,1.077637520536734,1.0481720831239634,1.0688599008954076,1.0416536493984827,1.0618316979370872,1.0571260159635945,1.0452095061381983,1.0138285596499224,0.9920418462211735,0.997762577106235,1.0718820225331303,1.0582237408636925,1.1084700962675307,1.0887064145852843,1.0269688836706072,1.101007624781421,1.0354972950773644,1.0289578381030462,1.0263636730494219
2023-08-01,1.0321408953509863,1.102359171433187,1.0782228851081421,1.048862419908014,1.068729405778442,1.0418173597279674,1.0615562011316355,1.057160981744556,1.0453744324788132,1.013623967388728,0.9916203056462066,0.9983249241368104,1.0720213255745406,1.0581893344862632,1.1079194840123687,1.0880917025838133,1.027294232033163,1.1008251039915438,1.035131889224302,1.0302723042284256,1.0265341574974085
2023-08-02,1.0326088507861806,1.1035309506872475,1.0791284353952613,1.0494948349680162,1.069173003040696,1.0420811719333012,1.061755204875955,1.0573813258420302,1.045781680065675,1.012973592545938,0.9914085127213591,0.9980770608352078,1.071735700032388,1.058031833409487,1.107903385383866,1.0882684831736562,1.0283120654878466,1.1004341825438766,1.0351582099748733,1.0295011514609425,1.027101566743668
2023-08-03,1.031598267553745,1.1031315030790552,1.0787156021745314,1.048727350789695,1.0686951918681502,1.0417109636943287,1.0616208323587106,1.0572590660702783,1.0454391373353542,1.0127082095094173,0.9914896728922049,0.9981859313494388,1.0714789161755378,1.0580009253198033,1.1092895640485525,1.0883146673521615,1.0281341306116858,1.1005416323754418,1.0348876705292722,1.0294313034247882,1.0261156526462514
2023-08-04,1.0314999401013283,1.1029843805154662,1.078514879200818,1.048699685459225,1.0689180877045639,1.041993241675241,1.0616471889103787,1.0574587133794007,1.0456166568415166,1.0127864605270995,0.9912977089387219,0.9977993640080325,1.0710298795655908,1.0580362489528723,1.109128017916932,1.0884538344504289,1.0282052962432577,1.100737833253968,1.0350740927849176,1.029119379097007,1.0259668246081926
2023-08-05,1.0306992810205169,1.1020931114771821,1.078312608332496,1.0483655805786332,1.0694850068646147,1.0418760621548135,1.0614274188502881,1.0572356721950436,1.0453611709583577,1.0125220365636118,0.9907457483347077,0.9970129225919939,1.0706874447765165,1.0578481502557446,1.1085335657088842,1.0885251573073134,1.028057790818359,1.1005852109426726,1.0348226521341801,1.0281367745224401,1.0261450550339475
2023-08-06,1.0305234496002296,1.1018607729624044,1.077946747811083,1.0482455538786692,1.069986707258027,1.0421822587480414,1.0617326768265924,1.0564203046270664,1.0456311389653743,1.0119717213013701,0.9901649762462327,0.9968510113635087,1.070397443503108,1.0578085258963497,1.108569296764724,1.0887137102957893,1.02831536757968,1.100893484284515,1.0350520219863755,1.0282912904452646,1.0265145164986829
2023-08-07,1.030735550973666,1.1023350260569185,1.078327138916618,1.0484414893665295,1.0653170920250998,1.0419003961427034,1.0612830847229147,1.0569730476323425,1.0439591891664572,1.0121719031873875,0.9904154887842833,0.9969396391150159,1.0704133578749029,1.0579646617612835,1.1079123689493773,1.0896140530803309,1.0294363015270123,1.1009874249672738,1.034775794885165,1.0285424911748715,1.0266599817771647
2023-08-08,1.030529234953706,1.1018374687364656,1.0783570373861362,1.0478110408009396,1.0664138356629869,1.043962928766079,1.0636022430344318,1.0571829455852495,1.044686184512859,1.0119554819640608,0.9903393010117413,0.9971946857134081,1.0701590728169226,1.0579427866840032,1.1074352442498592,1.089086299982899,1.028293392729421,1.1013446236078892,1.0350121172033038,1.0285744554683596,1.0261957286503427
