Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2023-07-24,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-100Shares,27.3,-2730,-100Shares,-,-159,7.73,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-100Shares,16.16,-1616,-100Shares,-,-89,6.62,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-300Shares,36,-10800,-300Shares,-,301.71,15.8,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-200Shares,27.3,-5460,-200Shares,-,-318,10.46,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-100Shares,16.16,-1616,-100Shares,-,-89,6.62,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,振华科技(000733.XSHE),Sell,Market_Order,-200Shares,92.23,-18446,-200Shares,-,-154,23.98,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,新和成(002001.XSHE),Buy,Market_Order,1500Shares,16.2,24300,1500Shares,-,0,7.29,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,药明康德(603259.XSHG),Buy,Market_Order,300Shares,67.1,20130,300Shares,-,0,6.04,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,智飞生物(300122.XSHE),Buy,Market_Order,500Shares,46.48,23240,500Shares,-,0,6.97,Filled,2023-07-24 09:30:00
2023-07-24,09:30:00,Stock,潞安环能(601699.XSHG),Buy,Market_Order,1400Shares,16.74,23436,1400Shares,-,0,7.03,Filled,2023-07-24 09:30:00
2023-07-25,09:30:00,Stock,新和成(002001.XSHE),Sell,Market_Order,-1000Shares,16.38,-16380,-1000Shares,-,180,21.38,Filled,2023-07-25 09:30:00
