,total_contribution,avg_weight,turnover
2768,0.0,0.0,0.0
2772,0.0,0.0,0.0
3110,0.0,0.0,0.0
3115,0.0,0.0,0.0
3167,0.0,0.0,0.0
3174,0.0,0.0,0.0
6698,0.0,0.0,0.0
2800,0.0,0.0,0.0
2801,0.0,0.0,0.0
2825,0.0,0.0,0.0
2828,0.0,0.0,0.0
2837,0.0,0.0,0.0
19,0.0,0.0,0.0
2865,0.0,0.0,0.0
23,0.0,0.0,0.0
2869,0.0,0.0,0.0
2877,0.0,0.0,0.0
2882,0.0,0.0,0.0
3328,0.0,0.0,0.0
3329,0.0,0.0,0.0
27,0.0,0.0,0.0
3347,0.0,0.0,0.0
2889,0.0,0.0,0.0
35,0.0,0.0,0.0
2934,0.0,0.0,0.0
3032,0.0,0.0,0.0
3033,0.0,0.0,0.0
3037,0.0,0.0,0.0
3039,0.0,0.0,0.0
3040,0.0,0.0,0.0
3067,0.0,0.0,0.0
3069,0.0,0.0,0.0
3070,0.0,0.0,0.0
3088,0.0,0.0,0.0
3423,0.0,0.0,0.0
3432,0.0,0.0,0.0
3441,0.0,0.0,0.0
3442,0.0,0.0,0.0
3606,0.0,0.0,0.0
3200,0.0,0.0,0.0
3268,0.0,0.0,0.0
3288,0.0,0.0,0.0
3301,0.0,0.0,0.0
3306,0.0,0.0,0.0
3309,0.0,0.0,0.0
3311,0.0,0.0,0.0
3317,0.0,0.0,0.0
3319,0.0,0.0,0.0
3320,0.0,0.0,0.0
3323,0.0,0.0,0.0
3678,0.0,0.0,0.0
