date,rolling_60d_trading_cost_hkd
2024-02-06,1119.2428918486792
2024-02-07,1117.528532189586
2024-02-08,1115.5494286968444
2024-02-09,1112.3285716220917
2024-02-14,1108.3807129331838
2024-02-15,1107.4659951367014
2024-02-16,1106.4972242172992
2024-02-19,1125.9348065294691
2024-02-20,1130.4758655102585
2024-02-21,1133.086110642199
2024-02-22,1192.461264691012
2024-02-23,1211.298467113648
2024-02-26,1191.9676509227243
2024-02-27,1191.6843778245682
2024-02-28,1195.1311152440587
2024-02-29,1175.0887363446093
2024-03-01,1182.3283164988939
2024-03-04,1189.5058947185453
2024-03-05,1198.0661495292095
2024-03-06,1202.556013717377
2024-03-07,1206.4690618328495
2024-03-08,1215.8296802596763
2024-03-11,1220.1388782057795
2024-03-12,1226.3535075777731
2024-03-13,1245.7882105803058
