date,rolling_60d_turnover_hkd
2020-10-09,192930.45596638284
2020-10-12,192798.76770182082
2020-10-13,191911.80796664758
2020-10-14,194677.53993656626
2020-10-15,195294.96247938968
2020-10-16,195064.40492567772
2020-10-19,194692.7312168219
2020-10-20,168859.86978372865
2020-10-21,168424.90902601308
2020-10-22,170777.40668213821
2020-10-23,170744.13772449104
2020-10-27,168279.24470861474
2020-10-28,165668.02227332006
2020-10-29,165253.77542197445
2020-10-30,164536.47143422332
2020-11-02,161904.85256776164
2020-11-03,159762.47605165656
2020-11-04,158790.2841834266
2020-11-05,156135.4903031727
2020-11-06,155380.28407502428
2020-11-09,152752.51046707717
2020-11-10,151615.88193194213
2020-11-11,115352.22725804025
2020-11-12,113097.66736567924
2020-11-13,112434.25079141869
2020-11-16,111224.00118019819
2020-11-17,110757.72319194188
2020-11-18,110214.8366639167
2020-11-19,109411.8024505171
2020-11-20,109096.24034917637
2020-11-23,108466.05308655412
2020-11-24,107699.78202674797
2020-11-25,106923.99915156145
2020-11-26,104709.16629923838
2020-11-27,104557.77593030974
2020-11-30,104042.91201622452
2020-12-01,103397.00900175584
2020-12-02,84353.97261675638
2020-12-03,85020.87054916284
2020-12-04,84536.04766866448
2020-12-07,81625.10324639072
2020-12-08,81306.69004918177
2020-12-09,83105.93820475422
2020-12-10,82327.14925711675
2020-12-11,82452.3354834711
2020-12-14,83128.68722292106
2020-12-15,83447.25517212141
2020-12-16,82192.7325598195
2020-12-17,80870.25179248721
2020-12-18,80203.8303825343
2020-12-21,80347.84265653323
2020-12-22,79807.82044856291
2020-12-23,73950.71387212811
2020-12-24,73333.16730583351
2020-12-28,74149.81110182194
2020-12-29,74397.0478007247
2020-12-30,71635.55727119105
2020-12-31,70109.63809226756
2021-01-04,69484.83014845874
2021-01-05,70278.83021180866
2021-01-06,73012.7663649156
2021-01-07,74861.21022878228
2021-01-08,75981.90666365747
2021-01-11,74490.09297433376
2021-01-12,73927.11003547008
2021-01-13,73548.1649246407
2021-01-14,73364.11595648015
2021-01-15,86891.41395722824
2021-01-18,85145.1666881681
2021-01-19,82927.70548126177
2021-01-20,82541.25660880822
2021-01-21,84023.70354508422
2021-01-22,84023.70354508422
2021-01-25,84023.70354508422
2021-01-26,85791.35100052177
2021-01-27,86478.60163006884
2021-01-28,86478.60163006884
2021-01-29,86478.60163006884
2021-02-01,86478.60163006884
2021-02-02,86478.60163006884
2021-02-03,86478.60163006884
2021-02-04,88840.32624883237
2021-02-05,110930.95576206507
2021-02-08,116442.5769720919
2021-02-09,126864.73642201333
2021-02-10,128917.72580086044
2021-02-11,130829.2890819114
2021-02-16,132996.78654912056
2021-02-17,134710.2351558949
2021-02-18,137254.86483440918
2021-02-19,138263.12826232548
2021-02-22,140763.68888666428
2021-02-23,141632.66021008734
2021-02-24,142097.74689965666
2021-02-25,143290.5413038764
2021-02-26,144578.47689737307
2021-03-01,145539.00028790283
2021-03-02,157199.47954044899
2021-03-03,159523.77625094962
2021-03-04,163864.0190633953
2021-03-05,166658.90305535105
2021-03-08,169044.1183850484
2021-03-09,168873.01593650508
2021-03-10,168794.53960673796
2021-03-11,170301.3386809359
2021-03-12,169811.88597898293
2021-03-15,170136.72396903287
2021-03-16,170742.59560665273
2021-03-17,170914.90151390035
2021-03-18,170585.1347538941
2021-03-19,170221.16275946196
2021-03-22,171155.6937593747
2021-03-23,182949.311777687
2021-03-24,184060.98518231575
2021-03-25,184367.6854920391
2021-03-26,187341.81945480572
2021-03-29,188242.61563220626
2021-03-30,188971.10676842835
2021-03-31,189805.9300943181
2021-04-01,189515.9918159963
2021-04-07,186941.92671181526
2021-04-08,187874.7855963974
2021-04-09,189311.20966666745
2021-04-12,188446.83548368668
2021-04-13,188741.80729766435
2021-04-14,187362.40821138993
2021-04-15,187615.19278779725
2021-04-16,160151.29118412253
2021-04-19,161915.45867615554
2021-04-20,176271.74215668748
2021-04-21,178125.6530026269
2021-04-22,178083.24484295695
2021-04-23,178675.2056212929
2021-04-26,181341.37734922933
2021-04-27,180804.51416545254
2021-04-28,182454.62394321046
2021-04-29,184194.88937088847
2021-04-30,186468.48152307136
2021-05-03,187870.80401799668
2021-05-04,188574.61473064253
2021-05-05,189404.2952359379
2021-05-06,189434.40188364094
2021-05-07,208740.47578382783
2021-05-10,207801.87896904693
2021-05-11,201060.704188624
2021-05-12,202859.46360730086
2021-05-13,202712.33538265186
2021-05-14,201580.13815537264
2021-05-17,201115.85287218206
2021-05-18,200497.47882392444
2021-05-20,203467.42067972219
2021-05-21,202553.00265520473
2021-05-24,203384.41767533455
2021-05-25,206154.16317939508
2021-05-26,208094.82007239325
2021-05-27,207110.19955897203
2021-05-28,207261.58472919316
2021-05-31,202722.16028402484
2021-06-01,204373.9998513135
2021-06-02,203019.30309008042
2021-06-03,204124.0271340587
2021-06-04,202940.18193921287
2021-06-07,205064.23673795446
2021-06-08,205953.341783293
2021-06-09,204479.19004058294
2021-06-10,205461.278655589
2021-06-11,207675.2147248573
2021-06-15,208098.1029058219
2021-06-16,211830.44157563619
2021-06-17,212208.11986230538
2021-06-18,214447.18988097872
2021-06-21,216905.05568443195
2021-06-22,247901.87717818838
2021-06-23,253929.26776124162
2021-06-24,256693.23309259256
2021-06-25,256247.4935738993
2021-06-28,255279.94978145693
2021-06-29,263572.2315278205
2021-06-30,265423.34688242374
2021-07-02,268458.405336264
2021-07-05,269498.80648293014
2021-07-06,267288.1040427996
2021-07-07,267321.93635904987
2021-07-08,267539.04361700057
2021-07-09,269988.99826481345
2021-07-12,271038.4291847716
2021-07-13,272750.26754467393
2021-07-14,329580.45939183346
2021-07-15,335612.636745185
2021-07-16,325392.92206676246
2021-07-19,327035.56763559184
2021-07-20,327909.8148603725
2021-07-21,328820.9126951121
2021-07-22,326836.3987748783
2021-07-23,326020.88028356584
2021-07-26,325587.58567501215
2021-07-27,326145.6211652419
2021-07-28,325447.9809505193
2021-07-29,326142.54890148545
2021-07-30,326700.92907466186
2021-08-02,326146.2016589951
2021-08-03,325503.03923944104
2021-08-04,307445.2500026148
2021-08-05,307939.51696528815
2021-08-06,304982.0830942377
2021-08-09,303186.26579212834
2021-08-10,304497.7169497093
2021-08-11,305318.9713790354
2021-08-12,306477.4627345443
2021-08-13,306750.9682843986
2021-08-16,303846.78507713106
2021-08-17,303693.8466630446
2021-08-18,303166.31633714575
2021-08-19,301727.29411326663
